"$hubspotcampaignalltype.hubCampaignType","$hubspotcampaignalltype.hubCampaignType1","$hubspotcampaignalltype.hubChannelType","$hubspotcampaignalltype.hubSenderID","$hubspotcampaignalltype.hubCrmName","$hubspotcampaignalltype.hubModuleName","$hubspotcampaignalltype.hubListName","$hubspotcampaignalltype.hubListPhoneField","$hubspotcampaignalltype.hubTemplateName","$hubspotcampaignalltype.hubMergeField","$hubspotrecurringcampaign.hubspotCampaignDate","$hubspotrecurringcampaign.hubspotCampaignTime","$hubspotrecurringcampaign.hubspotRecurringFreqency","$hubspotrecurringcampaign.hubspotCampaignEndDate","$hubspotrecurringcampaign.hubspotCampaignDay","$hubspotslowpace.hubspotSpBatch","$hubspotslowpace.hubspotSpDelay","$hubspotslowpace.hubspotSpTime","$hubspotslowpace.hubspotSpDate","$hubspotslowpace.hubspotSpScheduleTime","$contactlimitations.licenseName","$contactlimitations.licenseLimit","$contactlimitations.errorMessageSource","$contactlimitations.detailsError","$contactlimitations.selectList","$contactlimitations.selectList2"
"Broadcast","","SMS/MMS","1313131313","","","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Professionals PAYG","2000","You cant't send campaigns to more than 2000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 500"
"Broadcast","Broadcast","SMS/MMS","1313131313","Zoho Bigin","Contacts","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Professionals Advance","5000","You cant't send campaigns to more than 5000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 5000"
"Broadcast","Recurring","SMS/MMS","1313131313","Zoho Bigin","Contacts","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Marketeer Basic","10000","You cant't send campaigns to more than 10000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 8000"
"Broadcast","Recurring","SMS/MMS","1313131313","Zoho Bigin","Contacts","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Marketeer Advance","10000","You cant't send campaigns to more than 10000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 8000"
"Broadcast","Slow Pace","SMS/MMS","1313131313","Zoho Bigin","Contacts","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Contact Center Basic","","","","Contacts - 16000","Contacts - 16000"
"Broadcast","Broadcast","SMS/MMS","1313131313","Zoho Bigin","Contacts","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Contact Center Advance","","","","Contacts - 16000","Contacts - 16000"
"Broadcast","","SMS/MMS","1313131313","","","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","Contact Center PAYG","","","","Contacts - 16000","Contacts - 16000"
"Broadcast","","SMS/MMS","1313131313","","","Company list","Phone Number","Company Template","","25 Aug 2024","21:00","","","","","","","","","","","","","",""
"Recurring Campaign","Recurring","SMS/MMS","1313131313","Salesforce","Lead","SMS Leads","Phone","Salesforce Temp 2","","25 Aug 2024","21:00","","","","","","","","","Marketeer Basic","10000","You cant't send campaigns to more than 10000 contacts with your current license. Reduce your contact list or upgrade your license to proceed","","Contacts - 16000","Contacts - 8000"
"Slow Pace Campaign","Slow Pace","SMS/MMS","1313131313","Salesforce","Contact","My Contacts","Mobile Phone","Salesforce Temp 1",,"16 Jul 2024",,,,,"50","15","Minutes","12 May 2024","15:00"
